time_sec,taxi_id,from_cell,to_cell,to_edge,travel_time_sec
4500.0,taxi_respawn_112,8830e1ca29fffff,8830e1ca23fffff,-176732665,117.08855928800445
4500.0,taxi_respawn_121,8830e1ca29fffff,8830e1ca2bfffff,-117790031#1,101.53382484657135
4800.0,taxi_respawn_125,8830e1ca29fffff,8830e1ca2dfffff,-376649992,28.50440229804728
4800.0,taxi_respawn_130,8830e1ca29fffff,8830e1ca2dfffff,-376649992,31.691259110230085
4800.0,taxi_respawn_42,8830e1ca29fffff,8830e1ca2dfffff,-376649992,40.10089966635197
4800.0,taxi_respawn_123,8830e1ca29fffff,8830e1ca2dfffff,-376649992,51.49569261759768
4800.0,taxi_respawn_57,8830e1ca29fffff,8830e1ca2dfffff,-376649992,60.903082037814436
4800.0,taxi_respawn_86,8830e1ca2bfffff,8830e1ca2dfffff,-376649992,84.55460754768237
4800.0,taxi_respawn_58,8830e1ca63fffff,8830e1ca2dfffff,-376649992,86.5667492195625
4800.0,taxi_respawn_100,8830e1ca23fffff,8830e1ca2dfffff,-376649992,93.0168802895137
4800.0,taxi_respawn_124,8830e1ca2bfffff,8830e1ca2dfffff,-376649992,95.25251645749216
4800.0,taxi_respawn_127,8830e1ca63fffff,8830e1ca2dfffff,-376649992,95.72637219756109
4800.0,taxi_respawn_122,8830e1ca63fffff,8830e1ca2dfffff,-376649992,99.83324231107409
4800.0,taxi_respawn_62,8830e1ca07fffff,8830e1ca05fffff,-117790044#2,62.112241447163235
4800.0,taxi_respawn_52,8830e1ca2bfffff,8830e1ca05fffff,-117790044#2,63.062180156551186
4800.0,taxi_respawn_121,8830e1ca2bfffff,8830e1ca05fffff,-117790044#2,71.0239654494157
4800.0,taxi_respawn_88,8830e1ca07fffff,8830e1ca05fffff,-117790044#2,124.55579473449177
4800.0,taxi_respawn_129,8830e1ca63fffff,8830e1ca21fffff,-1056882877#0,94.4152304785237
5100.0,taxi_respawn_110,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,43.01309020445693
5100.0,taxi_respawn_134,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,55.63996399639966
5100.0,taxi_respawn_125,8830e1ca2dfffff,8830e1ca21fffff,-1056882877#0,71.28181743337183
5100.0,taxi_respawn_142,8830e1ca2dfffff,8830e1ca21fffff,-1056882877#0,71.28181743337183
5100.0,taxi_respawn_11,8830e1ca2bfffff,8830e1ca21fffff,-1056882877#0,79.65982714812628
5100.0,taxi_respawn_132,8830e1ca2bfffff,8830e1ca21fffff,-1056882877#0,92.9212146841939
5100.0,taxi_respawn_131,8830e1ca2bfffff,8830e1ca05fffff,-117790044#2,53.53098610842068
5100.0,taxi_respawn_95,8830e1ca07fffff,8830e1ca05fffff,-117790044#2,84.33872100613937
5100.0,taxi_respawn_140,8830e1ca07fffff,8830e1ca23fffff,-176732665,126.1352489536977
5400.0,taxi_respawn_86,8830e1ca2bfffff,8830e1ca05fffff,-117790044#2,66.31482218087717
5400.0,taxi_respawn_25,8830e1ca2bfffff,8830e1ca05fffff,-117790044#2,71.0239654494157
5400.0,taxi_respawn_135,8830e1ca2bfffff,8830e1ca05fffff,-117790044#2,75.38118966854681
5400.0,taxi_respawn_139,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,27.443203421575355
5400.0,taxi_respawn_148,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,29.674776686108196
5400.0,taxi_respawn_145,8830e1ca2bfffff,8830e1ca07fffff,-117790040,36.49696126805804
5400.0,taxi_respawn_143,8830e1ca29fffff,8830e1ca63fffff,-239962776,64.31847302886317
5700.0,taxi_respawn_156,8830e1ca29fffff,8830e1ca2dfffff,-376649992,34.56955708566427
5700.0,taxi_respawn_150,8830e1ca21fffff,8830e1ca2dfffff,-376649992,50.4271822946148
5700.0,taxi_respawn_142,8830e1ca29fffff,8830e1ca2dfffff,-376649992,50.926661850616405
5700.0,taxi_respawn_151,8830e1ca29fffff,8830e1ca2dfffff,-376649992,51.49569261759768
5700.0,taxi_respawn_122,8830e1ca21fffff,8830e1ca2dfffff,-376649992,57.07747143311769
5700.0,taxi_respawn_58,8830e1ca2bfffff,8830e1ca2dfffff,-376649992,57.9687651490192
5700.0,taxi_respawn_157,8830e1ca29fffff,8830e1ca2dfffff,-376649992,60.903082037814436
5700.0,taxi_respawn_66,8830e1ca29fffff,8830e1ca2dfffff,-376649992,60.903082037814436
5700.0,taxi_respawn_144,8830e1ca2bfffff,8830e1ca2dfffff,-376649992,73.30893763474621
5700.0,taxi_respawn_154,8830e1ca05fffff,8830e1ca2dfffff,-376649992,77.70258596989055
5700.0,taxi_respawn_88,8830e1ca2bfffff,8830e1ca2dfffff,-376649992,80.1297220018574
5700.0,taxi_respawn_109,8830e1ca05fffff,8830e1ca2dfffff,-376649992,83.37395749851515
5700.0,taxi_respawn_96,8830e1ca05fffff,8830e1ca23fffff,-176732665,123.97234941086498
6000.0,taxi_respawn_164,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,20.32853285328533
6000.0,taxi_respawn_160,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,27.443203421575355
6000.0,taxi_respawn_149,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,43.01309020445693
6000.0,taxi_respawn_153,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,47.666040713660415
6000.0,taxi_respawn_159,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,55.63996399639966
6000.0,taxi_32,8830e1ca2dfffff,8830e1ca21fffff,-1056882877#0,71.28181743337183
6000.0,taxi_respawn_144,8830e1ca2dfffff,8830e1ca21fffff,-1056882877#0,71.28181743337183
6000.0,taxi_respawn_162,8830e1ca2bfffff,8830e1ca05fffff,-117790044#2,54.25815537885194
6000.0,taxi_respawn_74,8830e1ca07fffff,8830e1ca05fffff,-117790044#2,62.112241447163235
6000.0,taxi_respawn_135,8830e1ca2bfffff,8830e1ca05fffff,-117790044#2,71.148784206409
6000.0,taxi_respawn_58,8830e1ca2dfffff,8830e1ca63fffff,-239962776,125.33186740415259
6000.0,taxi_respawn_88,8830e1ca2dfffff,8830e1ca63fffff,-239962776,125.33186740415259
6300.0,taxi_respawn_161,8830e1ca29fffff,8830e1ca2dfffff,-376649992,31.691259110230085
6300.0,taxi_respawn_166,8830e1ca29fffff,8830e1ca2dfffff,-376649992,37.7251766705665
6300.0,taxi_respawn_173,8830e1ca29fffff,8830e1ca2dfffff,-376649992,41.086055346223006
6300.0,taxi_32,8830e1ca21fffff,8830e1ca2dfffff,-376649992,63.578972941227306
6300.0,taxi_respawn_160,8830e1ca21fffff,8830e1ca2dfffff,-376649992,63.578972941227306
6300.0,taxi_respawn_172,8830e1ca2bfffff,8830e1ca2dfffff,-376649992,76.33988054521109
6300.0,taxi_respawn_168,8830e1ca2bfffff,8830e1ca2dfffff,-376649992,80.91931829560718
6300.0,taxi_respawn_171,8830e1ca63fffff,8830e1ca2dfffff,-376649992,86.5667492195625
6300.0,taxi_respawn_167,8830e1ca63fffff,8830e1ca2dfffff,-376649992,91.15062250969929
6300.0,taxi_respawn_169,8830e1ca05fffff,8830e1ca07fffff,-117790040,48.19167206654982
6300.0,taxi_respawn_95,8830e1ca05fffff,8830e1ca23fffff,-176732665,114.30484839998694
6600.0,taxi_respawn_131,8830e1ca2bfffff,8830e1ca07fffff,-117790040,48.032879875363115
6600.0,taxi_38,8830e1ca2bfffff,8830e1ca07fffff,-117790040,55.524043457104874
6600.0,taxi_respawn_162,8830e1ca29fffff,8830e1ca07fffff,-117790040,79.41314005755865
6600.0,taxi_respawn_53,8830e1ca29fffff,8830e1ca07fffff,-117790040,79.41314005755865
6600.0,taxi_respawn_86,8830e1ca29fffff,8830e1ca07fffff,-117790040,79.41314005755865
6600.0,taxi_respawn_52,8830e1ca2bfffff,8830e1ca07fffff,-117790040,83.17239390667515
6600.0,taxi_respawn_171,8830e1ca2dfffff,8830e1ca07fffff,-117790040,119.58606064290225
6600.0,taxi_respawn_180,8830e1ca63fffff,8830e1ca07fffff,-117790040,127.9239644504978
6600.0,taxi_respawn_166,8830e1ca2dfffff,8830e1ca21fffff,-1056882877#0,71.28181743337183
6600.0,taxi_respawn_184,8830e1ca63fffff,8830e1ca21fffff,-1056882877#0,79.37774735896606
6600.0,taxi_respawn_92,8830e1ca2dfffff,8830e1ca21fffff,-1056882877#0,113.51735300148529
6900.0,taxi_respawn_183,8830e1ca29fffff,8830e1ca2dfffff,-376649992,31.691259110230085
6900.0,taxi_respawn_175,8830e1ca29fffff,8830e1ca2dfffff,-376649992,50.926661850616405
6900.0,taxi_respawn_189,8830e1ca29fffff,8830e1ca2dfffff,-376649992,51.49569261759768
6900.0,taxi_respawn_179,8830e1ca2bfffff,8830e1ca2dfffff,-376649992,84.43459854716687
6900.0,taxi_respawn_187,8830e1ca23fffff,8830e1ca2dfffff,-376649992,89.26533998070656
6900.0,taxi_respawn_191,8830e1ca2bfffff,8830e1ca21fffff,-1056882877#0,95.45545672033514
6900.0,taxi_respawn_185,8830e1ca05fffff,8830e1ca21fffff,-1056882877#0,102.10058751939168
