o_cell_id,o_cell_x,o_cell_y,d_cell_id,d_cell_x,d_cell_y,o_admi_cd,d_admi_cd,st_time_cd,fns_time_cd,in_forn_div_nm,move_trans,move_dist,move_time,male_00_cnt,male_10_cnt,male_15_cnt,male_20_cnt,male_25_cnt,male_30_cnt,male_35_cnt,male_40_cnt,male_45_cnt,male_50_cnt,male_55_cnt,male_60_cnt,male_65_cnt,male_70_cnt,male_75_cnt,male_80_cnt,male_85_cnt,feml_00_cnt,feml_10_cnt,feml_15_cnt,feml_20_cnt,feml_25_cnt,feml_30_cnt,feml_35_cnt,feml_40_cnt,feml_45_cnt,feml_50_cnt,feml_55_cnt,feml_60_cnt,feml_65_cnt,feml_70_cnt,feml_75_cnt,feml_80_cnt,feml_85_cnt,total_cnt,etl_ymd,o_lat,o_lon,d_lat,d_lon
다사60504525,960625,1945375,다사60504950,960625,1949625,11680630,11200690,15,16,내국인,6,4400,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2.7,20250602,37.5068095726764,127.05449214077976,37.54511632572846,127.0542642751565
다사60504525,960625,1945375,다사60754525,960875,1945375,11680590,11680580,12,12,내국인,7,250,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,20250602,37.5068095726764,127.05449214077976,37.5068202068317,127.0573206845619
다사60754500,960875,1945125,다사61254500,961375,1945125,11680610,11680610,14,15,내국인,7,380,19,0.0,0.0,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.84,20250602,37.504566859762974,127.05733398998345,37.50458792318566,127.06299091196394
다사61004225,961125,1942375,다사66504825,966625,1948375,11680660,11740650,740,840,내국인,9,8035,70,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,20250602,37.47979054104119,127.06030777764883,37.53408641603244,127.12224128082393
다사60504500,960625,1945125,다사63001550,963125,1915625,11680630,41463517,700,840,내국인,8,29447,85,0.0,0.0,0.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,20250602,37.50455622646813,127.05450553121081,37.238757602647716,127.0842601840852
다사60754675,960875,1946875,다사58254750,958375,1947625,11680580,11680545,840,900,내국인,9,2548,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,20250602,37.52034027106183,127.05724082091024,37.526990822520055,127.0289078444445
다사61004525,961125,1945375,다사60754525,960875,1945375,11680610,11680610,21,21,내국인,7,206,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52,20250602,37.50683077325921,127.06014922982575,37.5068202068317,127.0573206845619
다사60754450,960875,1944625,다사52253425,952375,1934375,11680630,41173552,1700,1900,내국인,8,13418,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16,0.0,0.0,4.16,20250602,37.500060163028216,127.0573605963821,37.40727398191709,126.96186199413462
다사61004600,961125,1946125,다사22753350,922875,1933625,11680580,28185850,11,12,내국인,8,40162,90,0.0,0.0,0.0,0.0,0.0,0.0,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69,20250602,37.51359081183579,127.06010955975586,37.398527493258634,126.62863396081642
다사61004525,961125,1945375,다사60255025,960375,1950375,11680610,11200660,21,22,내국인,6,4883,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,20250602,37.50683077325921,127.06014922982575,37.55186559577862,127.05139377430855
다사60754375,960875,1943875,다사64754175,964875,1941875,11680600,11680700,1840,1940,내국인,6,4516,52,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,20250602,37.4933001114331,127.05740049487144,37.4754340222894,127.10274469262552
다사60754525,960875,1945375,다사44754800,944875,1948125,11680630,11470550,1940,20,내국인,8,16171,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,20250602,37.5068202068317,127.0573206845619,37.530789120076555,126.8760909433775
