time_sec,h3_index,idle_taxis
1.0,8830e1ca05fffff,0
1.0,8830e1ca07fffff,0
1.0,8830e1ca21fffff,0
1.0,8830e1ca23fffff,0
1.0,8830e1ca29fffff,1
1.0,8830e1ca2bfffff,0
1.0,8830e1ca2dfffff,0
1.0,8830e1ca3dfffff,0
1.0,8830e1ca63fffff,1
300.0,8830e1ca05fffff,0
300.0,8830e1ca07fffff,0
300.0,8830e1ca21fffff,1
300.0,8830e1ca23fffff,0
300.0,8830e1ca29fffff,0
300.0,8830e1ca2bfffff,0
300.0,8830e1ca2dfffff,0
300.0,8830e1ca3dfffff,0
300.0,8830e1ca63fffff,0
300.0,internal_or_unknown,1
600.0,8830e1ca05fffff,0
600.0,8830e1ca07fffff,1
600.0,8830e1ca21fffff,0
600.0,8830e1ca23fffff,0
600.0,8830e1ca29fffff,0
600.0,8830e1ca2bfffff,1
600.0,8830e1ca2dfffff,0
600.0,8830e1ca3dfffff,0
600.0,8830e1ca63fffff,0
900.0,8830e1ca05fffff,0
900.0,8830e1ca07fffff,0
900.0,8830e1ca21fffff,0
900.0,8830e1ca23fffff,0
900.0,8830e1ca29fffff,0
900.0,8830e1ca2bfffff,0
900.0,8830e1ca2dfffff,0
900.0,8830e1ca3dfffff,0
900.0,8830e1ca63fffff,0
1200.0,8830e1ca05fffff,0
1200.0,8830e1ca07fffff,0
1200.0,8830e1ca21fffff,0
1200.0,8830e1ca23fffff,0
1200.0,8830e1ca29fffff,0
1200.0,8830e1ca2bfffff,0
1200.0,8830e1ca2dfffff,0
1200.0,8830e1ca3dfffff,0
1200.0,8830e1ca63fffff,0
1500.0,8830e1ca05fffff,0
1500.0,8830e1ca07fffff,0
1500.0,8830e1ca21fffff,0
1500.0,8830e1ca23fffff,0
1500.0,8830e1ca29fffff,0
1500.0,8830e1ca2bfffff,0
1500.0,8830e1ca2dfffff,0
1500.0,8830e1ca3dfffff,0
1500.0,8830e1ca63fffff,0
1800.0,8830e1ca05fffff,0
1800.0,8830e1ca07fffff,0
1800.0,8830e1ca21fffff,0
1800.0,8830e1ca23fffff,0
1800.0,8830e1ca29fffff,0
1800.0,8830e1ca2bfffff,0
1800.0,8830e1ca2dfffff,0
1800.0,8830e1ca3dfffff,0
1800.0,8830e1ca63fffff,0
2100.0,8830e1ca05fffff,0
2100.0,8830e1ca07fffff,0
2100.0,8830e1ca21fffff,0
2100.0,8830e1ca23fffff,0
2100.0,8830e1ca29fffff,0
2100.0,8830e1ca2bfffff,0
2100.0,8830e1ca2dfffff,0
2100.0,8830e1ca3dfffff,0
2100.0,8830e1ca63fffff,0
2400.0,8830e1ca05fffff,0
2400.0,8830e1ca07fffff,0
2400.0,8830e1ca21fffff,0
2400.0,8830e1ca23fffff,0
2400.0,8830e1ca29fffff,0
2400.0,8830e1ca2bfffff,0
2400.0,8830e1ca2dfffff,0
2400.0,8830e1ca3dfffff,0
2400.0,8830e1ca63fffff,0
2700.0,8830e1ca05fffff,0
2700.0,8830e1ca07fffff,0
2700.0,8830e1ca21fffff,0
2700.0,8830e1ca23fffff,0
2700.0,8830e1ca29fffff,0
2700.0,8830e1ca2bfffff,0
2700.0,8830e1ca2dfffff,0
2700.0,8830e1ca3dfffff,0
2700.0,8830e1ca63fffff,0
3000.0,8830e1ca05fffff,0
3000.0,8830e1ca07fffff,0
3000.0,8830e1ca21fffff,0
3000.0,8830e1ca23fffff,0
3000.0,8830e1ca29fffff,0
3000.0,8830e1ca2bfffff,0
3000.0,8830e1ca2dfffff,0
3000.0,8830e1ca3dfffff,0
3000.0,8830e1ca63fffff,0
3300.0,8830e1ca05fffff,0
3300.0,8830e1ca07fffff,0
3300.0,8830e1ca21fffff,0
3300.0,8830e1ca23fffff,0
3300.0,8830e1ca29fffff,0
3300.0,8830e1ca2bfffff,0
3300.0,8830e1ca2dfffff,0
3300.0,8830e1ca3dfffff,0
3300.0,8830e1ca63fffff,0
3600.0,8830e1ca05fffff,0
3600.0,8830e1ca07fffff,0
3600.0,8830e1ca21fffff,0
3600.0,8830e1ca23fffff,0
3600.0,8830e1ca29fffff,0
3600.0,8830e1ca2bfffff,0
3600.0,8830e1ca2dfffff,0
3600.0,8830e1ca3dfffff,0
3600.0,8830e1ca63fffff,0
